INSERT INTO `gado` (`id`, `codigo`, `leite`, `racao`, `peso`, `situacao`, `nascimento`) VALUES
(754, 619743, 16.11, 378, 251, 1, '2018-01-07'),
(4209, 817281, 67.35, 76, 1022, 3, '2010-05-24'),
(321, 383303, 0.21, 79, 1228, 0, '2014-12-10'),
(9366, 490039, 160.86, 332, 457, 3, '2012-12-05'),
(2092, 546524, 99.35, 274, 685, 2, '2017-04-07'),
(9581, 453456, 138.36, 246, 704, 1, '2011-08-17'),
(2310, 691817, 118.5, 349, 1348, 2, '2022-01-25'),
(6152, 410080, 72.15, 7, 408, 2, '2016-06-30'),
(4330, 463136, 120.75, 442, 1210, 2, '2012-02-01'),
(7783, 880841, 167.16, 105, 329, 0, '2022-04-18'),
(7366, 380739, 88.45, 84, 899, 2, '2021-01-08'),
(7125, 109651, 167.5, 389, 1237, 2, '2018-03-27'),
(7124, 702815, 40.54, 482, 946, 3, '2010-11-11'),
(5552, 798763, 135.11, 318, 1059, 0, '2018-09-05'),
(2144, 910942, 75.33, 428, 999, 3, '2021-11-08'),
(6085, 316213, 31.24, 358, 1223, 3, '2014-01-08'),
(1318, 420482, 25.39, 490, 341, 1, '2016-10-04'),
(9182, 648903, 118.83, 302, 464, 1, '2013-09-10'),
(543, 529526, 36.51, 165, 1077, 0, '2019-09-01'),
(9137, 12267, 41.43, 449, 1249, 2, '2019-01-04'),
(2339, 418482, 152.4, 198, 783, 3, '2016-03-20'),
(1817, 474553, 168.21, 165, 798, 3, '2013-11-08'),
(7431, 590441, 66.94, 466, 1013, 3, '2023-03-26'),
(4991, 603457, 82.43, 42, 641, 2, '2012-10-30'),
(7261, 980498, 44.76, 486, 198, 1, '2011-02-16'),
(9374, 675436, 34.96, 103, 851, 0, '2023-03-13'),
(493, 245882, 74.93, 265, 1359, 0, '2010-01-11'),
(2749, 356348, 185.91, 273, 862, 3, '2015-05-19'),
(4711, 359286, 66.33, 3, 390, 3, '2011-06-17'),
(2187, 154591, 169.38, 422, 885, 0, '2014-12-31'),
(4115, 807488, 83.03, 249, 683, 3, '2012-12-29'),
(1967, 231604, 118.92, 101, 872, 3, '2016-10-10'),
(560, 733072, 65.48, 435, 884, 0, '2015-05-12'),
(7514, 725299, 123.58, 347, 336, 1, '2021-09-18'),
(8288, 321018, 79.64, 226, 752, 2, '2011-02-18'),
(5124, 280684, 14.81, 268, 1011, 1, '2012-09-04'),
(4013, 319573, 158.19, 7, 1328, 1, '2013-04-24'),
(241, 209954, 137.31, 43, 1067, 1, '2010-12-17'),
(5812, 684807, 114.58, 321, 353, 2, '2011-10-29'),
(6905, 18004, 81.4, 239, 1244, 3, '2021-11-21'),
(3217, 150163, 40.65, 337, 1037, 3, '2021-02-22'),
(6351, 813122, 48.84, 172, 713, 1, '2013-02-05'),
(9933, 184106, 23.52, 379, 888, 1, '2015-05-17'),
(5512, 174238, 40.89, 79, 600, 0, '2012-03-30'),
(8539, 786751, 8.15, 16, 919, 3, '2021-09-21'),
(8315, 741186, 56.83, 33, 913, 0, '2020-01-25'),
(5544, 324582, 30.72, 400, 362, 3, '2018-11-04'),
(8491, 632028, 169.35, 354, 1071, 3, '2019-04-17'),
(7949, 534401, 75.07, 481, 489, 1, '2018-04-16'),
(3849, 995103, 3.29, 171, 1226, 2, '2021-02-06'),
(9119, 328875, 53.2, 382, 720, 0, '2017-08-29'),
(6551, 238169, 52.72, 447, 1004, 1, '2015-01-13'),
(8537, 348376, 14.48, 108, 814, 0, '2011-03-07'),
(9353, 533350, 125.83, 30, 836, 2, '2022-12-16'),
(2922, 587007, 28.47, 189, 372, 3, '2012-10-18'),
(6374, 229465, 180.0, 309, 1143, 1, '2022-08-14'),
(333, 478333, 22.84, 283, 534, 1, '2023-01-25'),
(9711, 162408, 2.19, 344, 733, 3, '2016-06-17'),
(3191, 414825, 51.82, 85, 1240, 2, '2013-03-10'),
(7543, 876596, 9.62, 436, 271, 3, '2022-05-26'),
(8899, 448411, 183.67, 20, 281, 2, '2020-04-19'),
(9917, 706807, 185.81, 14, 892, 2, '2017-09-24'),
(2080, 574983, 79.23, 256, 280, 0, '2020-04-10'),
(9045, 212924, 131.47, 78, 917, 3, '2010-09-14'),
(5774, 269138, 70.98, 64, 997, 0, '2014-01-31'),
(3627, 31727, 15.63, 71, 215, 3, '2010-07-19'),
(4876, 955295, 61.16, 486, 1295, 0, '2021-11-07'),
(5861, 316723, 116.6, 221, 842, 1, '2018-07-31'),
(840, 106948, 4.34, 212, 839, 3, '2014-07-04'),
(365, 377242, 66.08, 463, 822, 1, '2017-04-28'),
(5146, 393926, 137.9, 372, 188, 2, '2023-05-11'),
(1706, 210207, 77.53, 407, 472, 3, '2016-01-24'),
(464, 358342, 12.01, 220, 638, 2, '2013-01-24'),
(2940, 206091, 183.12, 318, 1357, 2, '2016-02-28'),
(4721, 22511, 84.22, 33, 838, 0, '2011-02-10'),
(9319, 163797, 64.93, 334, 1233, 0, '2019-03-03'),
(9449, 222714, 15.98, 491, 345, 0, '2021-02-22'),
(7309, 502455, 99.5, 256, 1396, 2, '2021-05-07'),
(9128, 931364, 36.48, 325, 650, 1, '2017-10-19'),
(8789, 501202, 38.53, 129, 426, 3, '2015-12-25'),
(2624, 886425, 70.15, 156, 1215, 3, '2018-06-24'),
(6696, 705661, 123.37, 92, 1320, 3, '2012-07-20'),
(6888, 102590, 136.86, 79, 1141, 2, '2012-01-16'),
(3279, 43613, 175.32, 115, 430, 0, '2019-04-07'),
(5546, 117923, 86.39, 130, 340, 1, '2018-07-13'),
(4779, 846762, 116.82, 19, 181, 2, '2016-06-20'),
(8989, 756785, 130.94, 130, 768, 1, '2016-01-21'),
(9569, 114463, 182.85, 378, 471, 3, '2023-03-27'),
(4250, 969113, 17.12, 287, 573, 1, '2011-07-19'),
(1371, 560565, 53.02, 9, 1032, 3, '2021-09-16'),
(1486, 637167, 32.42, 256, 1410, 0, '2020-01-29'),
(6068, 37317, 117.79, 486, 470, 3, '2013-06-24'),
(4841, 866930, 92.95, 192, 665, 3, '2015-01-29'),
(7235, 820289, 133.49, 207, 685, 2, '2022-02-06'),
(3751, 132762, 176.73, 365, 1227, 0, '2016-08-29'),
(5247, 579612, 38.44, 8, 1214, 3, '2010-04-03'),
(7086, 421233, 76.3, 34, 1265, 2, '2022-11-12'),
(7430, 798229, 53.81, 38, 345, 1, '2017-09-18'),
(6631, 49703, 89.26, 355, 339, 3, '2010-02-01'),
(4513, 559786, 47.71, 173, 507, 0, '2022-07-25'),
(4314, 89867, 140.1, 143, 1332, 3, '2019-12-29'),
(6568, 213584, 175.87, 36, 699, 2, '2016-10-17'),
(2190, 353332, 177.07, 225, 1401, 3, '2012-07-23'),
(5871, 15143, 180.43, 60, 1098, 0, '2023-10-01'),
(3377, 772352, 110.45, 231, 325, 3, '2014-04-17'),
(3426, 447615, 5.33, 403, 1366, 2, '2021-11-09'),
(2506, 96879, 53.96, 23, 957, 1, '2010-03-17'),
(1482, 710470, 25.01, 222, 1136, 1, '2021-10-05'),
(9944, 187111, 78.64, 460, 452, 3, '2021-10-04'),
(8849, 750085, 60.63, 153, 933, 0, '2018-12-13'),
(7773, 811424, 121.37, 203, 479, 3, '2011-10-26'),
(3290, 756413, 173.93, 141, 161, 3, '2010-10-09'),
(3793, 182946, 170.35, 423, 1130, 3, '2023-08-14'),
(9412, 308284, 65.93, 79, 1140, 1, '2023-12-11'),
(7632, 90075, 134.61, 195, 510, 0, '2023-03-15'),
(9376, 492991, 166.86, 499, 744, 1, '2019-08-19'),
(551, 262906, 145.54, 331, 835, 0, '2010-09-25'),
(5900, 170576, 11.33, 355, 739, 3, '2022-12-07'),
(2602, 474101, 16.01, 413, 792, 1, '2013-08-18'),
(2707, 58942, 140.0, 421, 713, 1, '2021-04-02'),
